ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,RevenueValue,RiskScore,ActionRequired
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00001,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,EMEA,SG10,Meyer Metals,Revenue Recognized,2025-03-24,2025-03-27,2025-03-29,3,5,True,System integration gap,576916.86,45,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00002,Revenue Contract,Finance,Revenue Process Owner,Kenji Tanaka,EMEA,PL10,Zenith Precision,Billed,2025-04-26,2025-05-26,2025-06-09,30,44,True,Capacity constraint,545072.0,25,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00003,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,AMER,DE10,Euro Logistics,Contract Effective,2025-12-06,2025-12-27,2026-01-10,21,35,True,Quality hold,441515.76,29,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00004,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,APAC,US10,Meyer Metals,Revenue Recognized,2025-03-20,2025-04-03,2025-04-01,14,12,False,,638261.05,7,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00005,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,EMEA,US10,Pacific Electronics,Revenue Recognized,2025-08-20,2025-08-30,2025-08-26,10,6,False,,79542.02,88,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00006,Revenue Contract,Finance,Revenue Process Owner,Maria Garcia,AMER,DE10,Meyer Metals,Contract Effective,2025-09-28,2025-10-12,2025-10-09,14,11,False,Capacity constraint,397138.85,20,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00007,Revenue Contract,Finance,Revenue Process Owner,Maria Garcia,APAC,DE20,Pacific Electronics,Billed,2025-07-22,2025-08-12,2025-08-14,21,23,True,Pricing exception,92101.83,96,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00008,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,AMER,DE10,Zenith Precision,Fulfilled,2026-03-20,2026-03-23,2026-03-25,3,5,True,System integration gap,315589.9,9,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00009,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,EMEA,DE20,Summit Supply,Revenue Recognized,2025-02-20,2025-02-27,2025-03-01,7,9,True,Quality hold,490291.95,42,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00010,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,AMER,US10,Meyer Metals,Fulfilled,2025-10-27,2025-11-06,2025-11-14,10,18,True,Capacity constraint,505845.24,9,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00011,Revenue Contract,Finance,Revenue Process Owner,Thomas Weber,APAC,PL10,Meyer Metals,Billing Data Complete,2025-10-23,2025-10-26,2025-10-24,3,1,False,Capacity constraint,494260.13,37,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00012,Revenue Contract,Finance,Revenue Process Owner,Maria Garcia,EMEA,DE10,Meyer Metals,Revenue Recognized,2025-01-17,2025-01-22,2025-01-24,5,7,True,Quality hold,739785.34,87,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00013,Revenue Contract,Finance,Revenue Process Owner,Thomas Weber,APAC,DE10,Pacific Electronics,Revenue Recognized,2025-05-20,2025-05-27,2025-05-28,7,8,True,Approval delay,636858.12,53,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00014,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,EMEA,DE10,Zenith Precision,Billing Data Complete,2025-10-17,2025-10-20,2025-10-22,3,5,True,Approval delay,413542.02,14,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00015,Revenue Contract,Finance,Revenue Process Owner,Thomas Weber,EMEA,US10,Meyer Metals,Contract Effective,2025-11-12,2025-11-17,2025-11-16,5,4,False,Capacity constraint,228337.82,62,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00016,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,APAC,DE20,Pacific Electronics,Revenue Recognized,2025-08-02,2025-08-09,2025-08-10,7,8,True,Approval delay,523283.82,14,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00017,Revenue Contract,Finance,Revenue Process Owner,Thomas Weber,AMER,SG10,Summit Supply,Billed,2025-11-17,2025-12-08,2025-12-09,21,22,True,Approval delay,9419.26,75,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00018,Revenue Contract,Finance,Revenue Process Owner,Kenji Tanaka,AMER,US10,Summit Supply,Billed,2026-01-09,2026-01-12,2026-01-11,3,2,False,Capacity constraint,508750.9,72,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00019,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,EMEA,US10,Euro Logistics,Revenue Recognized,2025-08-05,2025-08-08,2025-08-06,3,1,False,,159599.29,97,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00020,Revenue Contract,Finance,Revenue Process Owner,Sara Novak,APAC,PL10,Meyer Metals,Revenue Recognized,2025-12-02,2025-12-16,2025-12-14,14,12,False,Approval delay,447918.84,54,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00021,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,EMEA,US10,Euro Logistics,Billing Data Complete,2025-01-02,2025-01-12,2025-01-13,10,11,True,Missing master data,44323.3,46,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00022,Revenue Contract,Finance,Revenue Process Owner,Sara Novak,APAC,PL10,Pacific Electronics,Contract Effective,2025-02-11,2025-02-16,2025-02-17,5,6,True,System integration gap,677027.94,60,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00023,Revenue Contract,Finance,Revenue Process Owner,Maria Garcia,APAC,PL10,Summit Supply,Billed,2026-01-30,2026-02-09,2026-02-15,10,16,True,Missing master data,749115.6,8,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00024,Revenue Contract,Finance,Revenue Process Owner,Maria Garcia,EMEA,DE10,Meyer Metals,Billing Data Complete,2025-12-27,2026-01-17,2026-01-26,21,30,True,Capacity constraint,59189.93,42,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00025,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,EMEA,DE20,Zenith Precision,Billing Data Complete,2025-09-18,2025-10-09,2025-10-09,21,21,False,,201182.28,49,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00026,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,EMEA,DE10,Summit Supply,Fulfilled,2026-01-09,2026-01-19,2026-01-23,10,14,True,Capacity constraint,560397.97,56,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00027,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,APAC,US10,Summit Supply,Contract Effective,2026-03-16,2026-03-30,2026-04-03,14,18,True,Supplier delay,637076.44,48,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00028,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,APAC,PL10,Summit Supply,Billing Data Complete,2025-05-05,2025-05-15,2025-05-11,10,6,False,Pricing exception,604474.88,6,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00029,Revenue Contract,Finance,Revenue Process Owner,Kenji Tanaka,APAC,US10,Meyer Metals,Fulfilled,2025-02-15,2025-02-22,2025-02-26,7,11,True,Supplier delay,71980.66,70,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00030,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,APAC,DE20,Pacific Electronics,Contract Effective,2025-07-25,2025-08-24,2025-08-23,30,29,False,Supplier delay,351471.91,76,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00031,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,APAC,DE20,Euro Logistics,Revenue Recognized,2025-09-06,2025-09-09,2025-09-11,3,5,True,Capacity constraint,740020.31,26,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00032,Revenue Contract,Finance,Revenue Process Owner,Priya Rao,APAC,DE10,Summit Supply,Contract Effective,2025-01-16,2025-01-19,2025-01-20,3,4,True,Quality hold,250468.67,74,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00033,Revenue Contract,Finance,Revenue Process Owner,Nina Patel,EMEA,US10,Euro Logistics,Revenue Recognized,2026-03-16,2026-03-21,2026-03-19,5,3,False,,55251.11,93,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00034,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,APAC,DE10,Meyer Metals,Billed,2026-01-20,2026-01-25,2026-01-23,5,3,False,,522137.62,66,False
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00035,Revenue Contract,Finance,Revenue Process Owner,Jon Miller,EMEA,US10,Summit Supply,Billed,2025-03-12,2025-03-26,2025-04-12,14,31,True,Quality hold,78990.6,91,True
contract2revenue,Contract2Revenue,CONTRACT2REVENUE-00036,Revenue Contract,Finance,Revenue Process Owner,Alex Chen,EMEA,DE20,Euro Logistics,Billed,2026-02-01,2026-02-04,2026-02-04,3,3,False,,747715.33,21,False
