ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,OrderValue,RiskScore,ActionRequired
order2cash,Order2Cash,ORDER2CASH-00001,Sales Order,Commercial,Order-to-Cash Process Owner,Kenji Tanaka,EMEA,PL10,Global Components,Billed,2025-08-10,2025-08-15,2025-08-19,5,9,True,System integration gap,239052.89,92,True
order2cash,Order2Cash,ORDER2CASH-00002,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,EMEA,DE10,Orion Technologies,ATP Confirmed,2025-07-22,2025-08-21,2025-08-23,30,32,True,Quality hold,586260.39,70,True
order2cash,Order2Cash,ORDER2CASH-00003,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,SG10,Orion Technologies,Billed,2025-08-24,2025-08-29,2025-08-31,5,7,True,Approval delay,284624.58,62,True
order2cash,Order2Cash,ORDER2CASH-00004,Sales Order,Commercial,Order-to-Cash Process Owner,Priya Rao,AMER,DE10,Atlas Systems,Order Created,2025-03-04,2025-03-18,2025-03-05,14,1,False,,518932.05,45,False
order2cash,Order2Cash,ORDER2CASH-00005,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,DE10,Apex Industries,Delivered,2025-11-05,2025-11-08,2025-11-08,3,3,False,,651598.27,62,True
order2cash,Order2Cash,ORDER2CASH-00006,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,SG10,Global Components,ATP Confirmed,2026-01-19,2026-01-26,2026-01-30,7,11,True,Quality hold,639585.86,46,True
order2cash,Order2Cash,ORDER2CASH-00007,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,EMEA,PL10,Nova Mobility,ATP Confirmed,2025-09-26,2025-10-10,2025-10-22,14,26,True,Supplier delay,524283.57,38,True
order2cash,Order2Cash,ORDER2CASH-00008,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,APAC,DE20,Orion Technologies,Cash Collected,2025-06-06,2025-06-13,2025-06-14,7,8,True,System integration gap,614257.79,68,True
order2cash,Order2Cash,ORDER2CASH-00009,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,APAC,DE10,Orion Technologies,Billed,2025-08-01,2025-08-22,2025-09-01,21,31,True,Quality hold,494101.44,89,True
order2cash,Order2Cash,ORDER2CASH-00010,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,AMER,US10,Global Components,Order Created,2025-06-01,2025-06-11,2025-06-11,10,10,False,Missing master data,432644.25,76,False
order2cash,Order2Cash,ORDER2CASH-00011,Sales Order,Commercial,Order-to-Cash Process Owner,Priya Rao,AMER,US10,Global Components,Order Created,2026-01-19,2026-02-02,2026-01-29,14,10,False,,186016.01,63,False
order2cash,Order2Cash,ORDER2CASH-00012,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,SG10,Nova Mobility,ATP Confirmed,2025-04-12,2025-04-17,2025-04-17,5,5,False,,319365.33,7,True
order2cash,Order2Cash,ORDER2CASH-00013,Sales Order,Commercial,Order-to-Cash Process Owner,Priya Rao,APAC,SG10,Nova Mobility,Delivered,2025-01-23,2025-02-02,2025-02-01,10,9,False,,726328.06,49,False
order2cash,Order2Cash,ORDER2CASH-00014,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,PL10,Orion Technologies,Cash Collected,2025-08-16,2025-08-19,2025-08-19,3,3,False,Pricing exception,517163.86,62,True
order2cash,Order2Cash,ORDER2CASH-00015,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,APAC,DE10,Global Components,Cash Collected,2026-02-15,2026-03-01,2026-02-21,14,6,False,,597446.9,80,False
order2cash,Order2Cash,ORDER2CASH-00016,Sales Order,Commercial,Order-to-Cash Process Owner,Kenji Tanaka,EMEA,DE20,Nova Mobility,Cash Collected,2025-06-10,2025-06-15,2025-06-12,5,2,False,,45519.91,41,False
order2cash,Order2Cash,ORDER2CASH-00017,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,EMEA,SG10,Global Components,Order Created,2025-11-12,2025-11-22,2025-11-19,10,7,False,,329431.28,47,False
order2cash,Order2Cash,ORDER2CASH-00018,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,DE20,Atlas Systems,Order Created,2025-04-22,2025-05-06,2025-05-20,14,28,True,Approval delay,153213.0,81,True
order2cash,Order2Cash,ORDER2CASH-00019,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,EMEA,US10,Atlas Systems,ATP Confirmed,2026-01-24,2026-02-03,2026-01-29,10,5,False,,352421.56,29,False
order2cash,Order2Cash,ORDER2CASH-00020,Sales Order,Commercial,Order-to-Cash Process Owner,Sara Novak,EMEA,DE20,Atlas Systems,ATP Confirmed,2026-03-20,2026-03-27,2026-03-21,7,1,False,,294214.03,31,False
order2cash,Order2Cash,ORDER2CASH-00021,Sales Order,Commercial,Order-to-Cash Process Owner,Kenji Tanaka,EMEA,SG10,Atlas Systems,ATP Confirmed,2025-10-15,2025-11-05,2025-11-15,21,31,True,Supplier delay,469756.19,75,True
order2cash,Order2Cash,ORDER2CASH-00022,Sales Order,Commercial,Order-to-Cash Process Owner,Nina Patel,APAC,PL10,Nova Mobility,Cash Collected,2025-08-13,2025-08-20,2025-08-24,7,11,True,Approval delay,643428.54,22,True
order2cash,Order2Cash,ORDER2CASH-00023,Sales Order,Commercial,Order-to-Cash Process Owner,Nina Patel,EMEA,PL10,Global Components,Delivered,2025-05-23,2025-05-26,2025-05-26,3,3,False,,17544.3,58,False
order2cash,Order2Cash,ORDER2CASH-00024,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,SG10,Atlas Systems,Order Created,2025-10-02,2025-10-09,2025-10-12,7,10,True,Quality hold,708691.61,52,True
order2cash,Order2Cash,ORDER2CASH-00025,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,AMER,US10,Orion Technologies,Delivered,2026-02-20,2026-02-27,2026-03-08,7,16,True,Missing master data,468544.57,24,True
order2cash,Order2Cash,ORDER2CASH-00026,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,APAC,US10,Global Components,Order Created,2025-12-08,2025-12-13,2025-12-14,5,6,True,Pricing exception,275830.52,34,True
order2cash,Order2Cash,ORDER2CASH-00027,Sales Order,Commercial,Order-to-Cash Process Owner,Nina Patel,AMER,PL10,Global Components,ATP Confirmed,2026-02-10,2026-02-17,2026-02-15,7,5,False,System integration gap,471550.03,34,False
order2cash,Order2Cash,ORDER2CASH-00028,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,APAC,SG10,Global Components,Order Created,2025-04-20,2025-05-11,2025-05-31,21,41,True,Pricing exception,52006.82,71,True
order2cash,Order2Cash,ORDER2CASH-00029,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,SG10,Atlas Systems,Order Created,2025-08-30,2025-09-29,2025-10-04,30,35,True,Approval delay,159941.68,34,True
order2cash,Order2Cash,ORDER2CASH-00030,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,EMEA,DE10,Nova Mobility,Delivered,2026-02-10,2026-02-24,2026-02-20,14,10,False,,20297.64,51,False
order2cash,Order2Cash,ORDER2CASH-00031,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,AMER,PL10,Nova Mobility,Order Created,2025-05-24,2025-05-31,2025-06-01,7,8,True,Supplier delay,105663.9,75,True
order2cash,Order2Cash,ORDER2CASH-00032,Sales Order,Commercial,Order-to-Cash Process Owner,Nina Patel,AMER,DE20,Orion Technologies,Billed,2025-10-27,2025-11-06,2025-11-07,10,11,True,Quality hold,681527.46,73,True
order2cash,Order2Cash,ORDER2CASH-00033,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,APAC,DE10,Apex Industries,Delivered,2025-11-08,2025-11-18,2025-11-21,10,13,True,Supplier delay,457198.3,8,True
order2cash,Order2Cash,ORDER2CASH-00034,Sales Order,Commercial,Order-to-Cash Process Owner,Sara Novak,EMEA,US10,Nova Mobility,Delivered,2025-06-03,2025-06-17,2025-06-18,14,15,True,Approval delay,423296.34,16,True
order2cash,Order2Cash,ORDER2CASH-00035,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,AMER,SG10,Orion Technologies,ATP Confirmed,2025-08-17,2025-09-07,2025-09-18,21,32,True,System integration gap,364839.48,22,True
order2cash,Order2Cash,ORDER2CASH-00036,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,PL10,Global Components,Delivered,2025-12-13,2025-12-16,2025-12-17,3,4,True,Pricing exception,414595.43,20,True
